Gene,Corrected P-value,Log2 Fold Change
PRL,9.7572e-05,-9.6837
CALCOCO2,2.5186e-14,-0.8997
HIST1H4E,1.2444e-11,5.8916
ZBTB47,1.6969e-15,-1.5409
COL4A3BP,3.3344e-15,-1.0567
OR2A1,4.6971e-05,-4.4308
RPP25,1.1609e-05,0.6917
PRELP,3.2046e-13,-2.7792
SPRR3,5.1560e-10,11.6725
CST5,1.4817e-15,-14.8049
FAM212B,6.4289e-11,-1.1251
CYB5D1,5.0047e-08,-0.5929
MTERF,1.7100e-10,0.9715
TRPV3,7.1653e-11,2.1996
MND1,1.7577e-15,3.4353
CHEK1,9.7451e-16,2.9864
LSMEM1,2.7381e-05,-0.9286
MCM7,9.7451e-16,1.6399
SLC5A9,1.5073e-15,-6.7895
S100Z,5.1730e-09,-1.0760
ZCCHC24,1.0220e-14,-1.8467
ARID4A,9.2496e-13,-1.0058
NDUFB4,4.3161e-11,0.7334
NR4A1,5.6343e-13,-3.1633
LRRC32,1.5941e-15,-2.7809
TRIM36,2.3179e-11,-1.7413
AKT1S1,1.1100e-10,0.6167
NASP,2.3182e-09,0.7035
SNRPB,4.1673e-15,1.2016
ACSS3,1.3519e-14,-2.7648
CLASP2,1.4346e-15,-0.9967
AGTPBP1,2.1677e-15,-1.2495
C7orf63,2.0075e-08,-1.1261
GINS3,4.8818e-15,1.8053
GNB3,6.5097e-05,1.0067
GLDN,1.2396e-15,-3.2885
C2orf54,3.2787e-13,-2.7271
DDX55,4.4083e-11,0.7205
SGCA,1.3767e-15,-3.4968
HOXC10,8.0633e-12,13.8268
DIEXF,9.0265e-13,0.9329
RP11-867G23.8,1.2849e-13,-1.9966
C1orf198,4.0636e-15,-1.6442
PVRIG,7.4816e-05,-1.2221
GRIN3B,2.6259e-04,-2.2985
PPP1R14B,1.1051e-15,1.7800
CCDC78,3.0638e-06,-2.2174
CEBPB,2.0869e-08,-0.8531
RP11-977G19.10,4.9374e-07,7.4195
AADACL2,4.6055e-04,7.1859
NXPH2,2.2244e-02,3.7900
CD109,1.2715e-07,1.2786
ETS2,1.6420e-07,-1.0480
CADPS2,5.6028e-15,-1.8476
MRPL47,3.0345e-14,1.3026
RP11-690P14.4,7.3726e-12,-11.0397
EIF3B,2.8738e-15,1.0532
RAB32,8.7798e-08,-0.6458
DCUN1D1,9.1320e-15,1.4097
GPR146,1.1724e-15,-2.7173
EML1,7.3996e-10,-1.4503
RBMS3,9.7451e-16,-2.2694
ERVW-1,1.1994e-03,-2.3360
SFMBT2,6.1005e-06,-0.9935
CHRNA7,9.7645e-03,0.7709
FFAR2,5.1916e-05,-1.5938
TCAIM,1.3462e-13,-0.7301
SFTPA2,9.7451e-16,-7.6441
HSPB6,9.7451e-16,-4.2438
HOXA4,5.1916e-05,-1.3568
TRPV4,2.1697e-11,1.6880
IL18R1,7.0926e-10,-1.5740
TCF3,1.2396e-15,1.4065
AMHR2,3.9702e-13,-5.2576
ANKRD7,1.4504e-06,2.1000
CA4,9.7451e-16,-9.7877
ARID3A,5.2962e-08,0.7441
TBC1D24,2.5632e-10,-0.8992
IHH,2.9305e-15,-11.1220
ID1,5.6389e-06,-0.9293
CDK20,1.4150e-08,-0.8809
E2F8,1.2619e-15,3.4101
PITX1,1.6390e-15,6.1719
CSF1,3.7005e-13,-1.7583
SMAD3,2.1674e-06,0.6632
IGFL2,2.1594e-10,7.2856
RIIAD1,4.6921e-13,-11.0458
C15orf26,2.3146e-13,-4.5378
C15ORF37,2.5251e-04,-2.6109
CTC1,9.2349e-12,-0.8183
DHX35,1.9327e-08,0.6859
NCKAP5L,7.8736e-09,-0.7167
STRAP,1.0108e-11,0.9060
RP11-368I7.4,8.4583e-08,-3.6853
CPNE7,1.7958e-04,1.0401
CNGA4,1.2451e-09,-4.9286
BANK1,1.6390e-15,-2.4238
C17orf61-PLSCR3,5.5754e-05,-3.0699
KLC2,3.7554e-09,0.6201
SUZ12,2.0472e-08,0.6343
CYTH3,9.8895e-10,-0.7779
GJA5,3.2300e-12,-2.2083
SCRN2,2.1908e-07,-0.7272
FSTL4,2.8743e-04,1.0318
LRFN3,4.7317e-08,0.5935
RNH1,2.4452e-12,-0.7584
GCLC,1.7789e-14,2.3514
MYH14,1.5818e-03,-0.6508
SPRED3,1.5519e-06,4.8078
AK9,9.2995e-10,-1.0122
FAM57B,7.6127e-07,6.3004
DOCK11,1.3220e-15,-2.1983
ZDBF2,1.5786e-02,-0.6163
GNA14,1.0040e-15,-3.1969
CELF3,4.6545e-02,-7.2509
COL10A1,7.4852e-13,4.1470
WNK2,2.8513e-10,3.2237
NCMAP,3.3437e-14,-4.4327
SLC6A6,4.3655e-06,-0.6341
ZC3H7A,3.1003e-11,-0.6423
AVPR1A,1.0338e-02,-1.3184
CRIP1,8.2288e-13,-11.3375
TRIB1,2.6191e-10,-1.5284
RP5-1021I20.4,2.6755e-02,-0.9337
MT-ND2,1.3344e-08,-0.8814
PDGFRB,1.8677e-04,-0.7781
FOXA2,1.2619e-15,-4.6486
MTA2,1.5879e-13,0.6198
ACOT11,1.3276e-09,1.1984
CAMK2B,1.4558e-02,1.1476
FGF11,1.1489e-15,4.1129
NAP1L5,4.2313e-09,-1.2632
KIF14,1.0040e-15,4.5196
ANKRD20A2,1.7723e-03,-2.9870
PUS7,2.9832e-15,1.5861
CRIP2,4.2460e-15,-2.1650
MUC6,1.2014e-02,-4.4904
RARA,9.9797e-16,-1.5680
NUP210,2.5036e-05,0.6492
ITPR1,5.2254e-15,-1.7905
PTGER4,6.7500e-12,-1.8083
FOXA3,1.6654e-02,-1.1632
XPNPEP2,3.3549e-07,-1.5684
CDKL5,9.6606e-12,-1.5136
MRPL15,7.1653e-11,0.8176
TUBB4A,4.7294e-03,1.1480
SGOL2,2.0938e-15,2.1475
CD8A,1.6597e-06,-1.3316
NTNG1,5.8797e-11,-4.6671
ALDH18A1,1.2891e-14,1.1435
FGD3,2.9002e-14,-1.6851
FANCM,1.2112e-08,0.7065
PROC,9.9532e-09,1.3125
LDLRAD2,7.8779e-07,-1.0981
MRPS33,3.0774e-09,0.7752
TSC22D3,5.1417e-13,-2.1401
TLR4,9.7451e-16,-2.6442
SH3BGRL2,2.5303e-15,-1.9162
SCNN1B,2.0354e-14,-2.8397
GRIK4,1.1662e-12,-3.8058
ANGPTL5,9.1320e-15,-12.0740
NNMT,2.1140e-10,-1.7721
SLC16A4,2.2349e-14,-2.6165
EMILIN3,2.2428e-03,1.5368
LCAT,5.4811e-12,-1.4014
TRDMT1,6.0824e-07,-0.6144
CD3D,2.1926e-05,-1.2010
SMPD4,2.2877e-15,0.8197
HTR7,3.7612e-10,2.0295
HBD,2.4781e-08,-8.0908
THSD1,1.0822e-11,-1.8038
TACC2,2.7783e-08,-0.9677
FSCN3,1.2697e-02,-3.2433
RP11-613M10.8,5.4183e-04,5.6934
CX3CR1,7.2390e-15,-3.6838
PRIM1,1.9849e-11,1.1645
SMOX,9.6755e-13,1.7372
FBXO36,8.8701e-05,-0.6861
CRABP2,2.7056e-14,3.6734
HNF1B,2.1677e-15,-6.8189
SPOCK1,9.4547e-14,2.8512
CHIA,3.7359e-15,-11.9730
NPR2,3.4657e-05,-0.7895
LRRC10B,1.0993e-09,-3.7368
EDNRB,9.7451e-16,-4.7005
VASN,6.3854e-10,-1.2656
SLC10A5,5.1730e-09,-1.1135
NFIA,4.9758e-05,-0.6401
SFXN1,7.9204e-15,1.8464
SLC25A42,1.6867e-08,-0.8395
XPNPEP3,7.8777e-10,0.8182
SUSD4,7.4301e-08,1.8036
DHX33,3.6163e-11,0.6891
B3GALNT2,6.0535e-15,1.1888
CNTN6,9.7451e-16,-11.5188
HSPA12B,1.2396e-15,-3.1600
TMEM74B,6.8996e-12,-2.1844
WDR62,9.7451e-16,2.7105
KLK4,2.0346e-05,3.7615
ATAD3A,2.1384e-12,1.0508
C10orf25,1.1208e-14,-1.5294
SP5,5.2921e-07,-3.8449
CYR61,9.0302e-12,-2.3229
KRBA1,3.5595e-08,0.6116
SHANK2,7.0485e-12,-1.9573
ISM2,1.2259e-13,8.9746
EOGT,3.5708e-15,-1.1525
RHOJ,9.7451e-16,-2.8193
FBLN5,1.0040e-15,-3.2436
PPM1F,4.1751e-10,-0.8440
FADD,1.1210e-08,0.6949
PDE4A,4.6685e-14,-1.3539
FAM110D,1.1489e-15,-3.1614
GALM,4.8917e-12,-1.1594
NAPSA,9.7451e-16,-6.3486
EID1,5.2331e-12,-0.6693
ZNF418,2.3546e-06,-1.2175
TMED10,3.5361e-11,0.6487
ALDH2,1.5665e-15,-2.4379
CARNS1,2.0397e-12,-1.5283
MED20,5.6213e-11,0.6726
ERMN,3.6035e-03,-0.6487
ZDHHC11,2.3991e-04,-0.9771
MTMR7,2.3127e-07,-0.8988
CLCA4,1.3344e-08,3.7377
HMCES,1.6273e-13,0.8066
NUP155,1.6390e-15,1.8733
ARHGEF19,2.0830e-14,1.8602
FAM20A,1.2715e-07,-1.2319
CCL5,1.7779e-05,-1.2179
DERL3,3.2353e-02,0.6077
HDAC1,2.9305e-15,0.9384
L1CAM,2.5460e-02,0.9756
GNRH1,8.5017e-04,-0.7234
RBM34,1.5834e-12,0.6189
B4GALNT1,2.6802e-12,2.8573
RNF182,2.1140e-10,-2.5072
TKTL1,2.1675e-08,-4.6016
SGCD,9.4586e-08,-1.2631
ZNF587,2.6210e-07,0.6662
SEC14L1,2.4189e-11,-0.9306
ELANE,1.4647e-15,-9.1322
ZNF880,1.7018e-05,-1.0119
FOXS1,7.5400e-04,-0.8112
ARHGAP17,1.1961e-13,-0.7916
KLHL2,1.0383e-13,-0.9617
GTF2H2C,5.1178e-12,-0.7646
ABCG2,1.4763e-12,-2.4668
C7,9.7451e-16,-4.6102
QPRT,9.3531e-04,-0.8945
MTA3,2.2877e-15,1.0187
SLC10A4,3.6184e-02,-1.9358
C3orf36,1.9696e-08,-2.4532
DPEP3,2.1888e-04,-4.3749
SASH3,1.5528e-14,-2.1684
SPDL1,2.1340e-14,1.3254
ZACN,4.1474e-07,2.0413
GLI4,7.0263e-08,0.6954
MT2A,5.0907e-04,-0.9688
FAM86B1,1.4294e-04,-0.7568
LRPPRC,5.7682e-13,0.8601
LRRC63,5.4963e-10,-6.6961
ANKRD62,2.9321e-02,3.4966
POPDC2,1.7984e-07,-0.8103
SH2B3,6.3153e-15,-1.5613
CNPPD1,4.6921e-13,-0.7782
CCNE2,1.9564e-15,2.2888
INHBC,9.8068e-04,3.4543
TMEM155,4.5844e-03,-0.9339
CEP76,4.8917e-12,0.9849
MAP2,1.7268e-05,-1.7216
LGALS7B,1.4789e-13,5.8565
NUDT8,3.6017e-14,1.4464
MATK,3.0107e-12,-1.8879
SLC16A1,1.7898e-13,2.3666
PLCXD3,5.0291e-11,-3.9490
SULT1A1,1.1253e-15,-2.8160
BDH2,1.8594e-14,-1.3710
ATP2C2,1.5604e-11,-2.3093
LRRC4B,2.9947e-13,-2.4714
SMAD6,3.0345e-14,-2.9097
MAPRE2,1.1572e-15,-1.4319
PPP1R3F,1.2483e-04,-0.6118
MRC1,5.8621e-10,-6.1919
SLC1A7,7.0887e-15,-2.6957
PUS1,1.3123e-13,1.0627
GRM6,1.9747e-05,-6.4236
INTS8,2.9947e-13,0.8803
ZBED2,2.3636e-09,-2.0809
MYRFL,2.1878e-02,-1.6926
RETSAT,1.2728e-11,-0.6971
KLHDC8A,9.8068e-04,0.7659
FLRT3,4.7750e-15,-3.5271
PSMB3,1.5946e-11,0.6339
KIF4A,1.1127e-15,4.4555
FCRL1,3.4602e-11,-4.9743
SGIP1,6.9198e-06,-0.9765
KLHL14,1.5260e-06,-4.3140
TRPM1,5.5211e-03,-6.0663
LITAF,7.2758e-09,-0.8087
GSTT2,1.2810e-02,-0.6649
MAFF,2.6210e-07,-1.2468
IPPK,2.2515e-08,0.8499
RPP40,9.4547e-14,1.6418
ABCB5,1.2483e-04,-5.7701
L1TD1,5.1157e-14,-6.7955
LDHA,1.1961e-13,1.2575
CCR9,2.8068e-12,-5.6460
WNT2,5.6153e-10,-1.9459
SMARCB1,8.8127e-14,0.8871
DENND6B,4.2957e-07,-0.9878
KCNH6,4.2545e-12,-7.6739
SLC9A3R2,3.1963e-15,-2.5333
LFNG,1.8997e-06,-0.8531
GPC3,2.0304e-06,-2.0301
MYOCD,9.7451e-16,-5.7417
PNPLA6,2.9832e-15,-1.6833
MFI2,1.3532e-15,3.4641
GJB5,3.3437e-14,5.8943
ABCC5,4.6685e-14,2.2837
CCT3,1.3021e-15,1.2393
XRCC2,9.7451e-16,3.7064
GIT2,6.0124e-12,-0.6240
MIXL1,3.0163e-06,1.7605
FLRT1,5.6759e-07,2.3094
HMOX1,1.7890e-08,-1.4612
ARAP2,2.6190e-09,-1.0622
ECM2,5.9011e-13,-2.1228
TSPAN13,5.1029e-15,-1.9362
SMCO1,7.0044e-04,7.4185
PCDHGA8,1.1609e-05,-0.9071
ARL6,2.7150e-07,-0.6598
PAMR1,2.0305e-03,-0.9882
PDE3A,2.2951e-08,-1.2479
CEBPE,4.9433e-10,-2.8179
IFI44L,2.2766e-04,-1.1295
ROS1,1.3832e-14,-4.7241
NOL11,9.0265e-13,0.8529
GK5,2.7328e-06,0.7276
ART1,1.1852e-10,-14.2256
WDR90,2.5923e-04,0.6295
AC023590.1,4.6904e-02,4.1446
MKKS,1.7395e-11,0.8507
SLC9A3,3.2993e-08,5.8611
LSM4,2.3643e-13,0.9717
RHOH,1.2946e-05,-1.0759
APOBEC2,2.6547e-13,-7.9749
PCDHA7,2.0970e-05,-1.6973
LPO,1.6263e-05,3.0759
AC006547.14,3.3324e-09,-3.9861
STXBP1,5.3510e-15,-1.6603
GLTSCR2,1.1587e-07,-0.6137
PGM5,9.7451e-16,-4.1407
ZNF781,8.4156e-14,-2.3355
CNTNAP2,1.8959e-08,3.4144
PIK3C2A,8.8443e-09,-0.6551
PERP,9.7451e-16,2.9745
ZNF331,7.5422e-12,-1.6795
AC007040.11,2.3947e-03,2.9253
FAM213A,2.7428e-12,1.0478
C5orf56,5.6063e-14,-1.9073
FGF9,9.1168e-11,-3.4982
INPP5A,6.0124e-12,-0.8481
LYN,4.0672e-09,-1.0303
TRAF4,5.6084e-08,0.6802
HLA-F,1.0866e-10,-1.4206
STXBP2,2.1586e-13,-0.9244
HAS3,4.2207e-03,0.6777
HIST1H4D,1.2322e-04,6.0604
CDH26,1.0534e-03,-1.1261
TLE2,2.9666e-14,-2.0739
LDHAL6A,3.2367e-07,-5.8803
HYI,2.0115e-13,-1.2329
TBC1D2,2.8885e-08,-0.9010
AJAP1,2.9110e-04,-1.7517
TOP3B,3.8672e-07,0.5894
CLN5,1.4448e-13,-0.7658
STYK1,2.5819e-14,1.9696
IZUMO1,1.6507e-02,-1.2593
STEAP1B,1.6219e-08,2.2042
CACNA1C,3.9215e-10,-1.3830
FKSG52,3.4509e-10,4.8618
CRYBB2,2.1705e-03,-1.8585
WDR93,6.7821e-05,-1.5552
FAM111B,1.7789e-14,3.2130
SLC16A6,4.4083e-11,-1.6844
TMEFF2,2.1674e-06,-9.9818
FBXO45,1.6666e-15,1.9888
ERC2,6.5097e-05,1.2036
AIF1L,2.9407e-08,-1.3203
ADD1,1.7789e-14,-0.8929
SOHLH2,5.9358e-08,5.6231
PLA2G3,6.6867e-03,-2.0696
FUT6,2.4834e-02,1.0803
NRG4,5.8293e-04,0.9854
CENPH,9.7451e-16,2.1681
PPAP2A,1.0394e-10,-1.0100
RFWD3,1.2641e-14,1.2104
DHRS1,2.9097e-07,-0.6102
TRABD2A,5.1157e-14,-1.9573
MAP6D1,8.5162e-15,1.6529
CLDN18,9.7451e-16,-8.6525
LDLRAD1,5.2582e-11,-10.6491
MARCKSL1,2.2237e-09,1.3321
ALOX12,1.0089e-05,1.8591
CRISP3,1.3160e-03,-4.3104
UBQLN4,6.1981e-14,0.5978
DSCAML1,1.5684e-10,-3.0917
HIST1H2AM,1.6670e-13,8.8920
FGD1,1.2628e-10,1.1458
TNNI3K,1.7844e-10,-3.5382
KIAA0319,7.8216e-03,-1.5597
TSNAX-DISC1,1.8315e-05,9.2146
LILRA6,3.1310e-13,-2.3845
NUDT11,7.8245e-11,2.4965
MS4A8,5.6153e-10,-9.5027
KANSL1L,4.1602e-13,-1.2170
WDR70,5.3900e-09,0.5918
CDR1,1.5551e-07,-2.2030
FGFR1OP,2.4189e-11,0.8144
MAGOHB,1.1670e-13,1.0619
AP001468.1,2.2056e-02,-2.2112
CEP250,6.9431e-10,0.9697
FKBP15,2.3179e-11,-0.7554
FGF22,2.1513e-02,-1.7129
CHST2,1.6367e-02,0.6860
ENO1,2.3923e-12,1.0330
CAPN11,4.1476e-08,-1.3590
C10orf91,2.9947e-13,2.6062
GAPT,9.6688e-14,-2.8295
CDH6,8.1482e-08,-1.4366
ROR2,2.9114e-03,0.7502
PECR,8.6019e-14,-1.2769
SLC25A37,4.7643e-05,-0.6392
DCP1A,1.5528e-14,-0.8274
C14orf37,5.2189e-04,0.5954
PPP1R13B,6.0730e-09,-0.7300
TSKS,3.6035e-03,-2.9687
MSRA,1.1368e-15,-1.7721
PDIA3,4.1324e-11,0.5895
CD2,1.2469e-06,-1.3474
TTLL12,2.1347e-15,1.9286
MIOX,9.9986e-08,10.0644
LSG1,7.9204e-15,1.2183
GALC,1.7000e-14,-1.3422
CCDC33,1.2958e-07,-6.7340
PRKCD,3.1963e-15,-1.2384
NOSTRIN,9.7451e-16,-4.0653
TUBB,9.6134e-15,1.1839
INHBE,2.3420e-12,4.0402
PJA2,1.9416e-15,-1.0045
AC021860.1,3.1382e-03,-1.2987
CACNG6,1.0099e-09,-11.8120
SMIM22,4.6532e-06,-1.8338
CCR7,4.4365e-06,-1.2535
TCEB1,1.4114e-09,0.5917
SSRP1,2.3289e-15,0.8694
FAM27E1,1.0534e-02,2.3036
SEMA6B,1.9747e-05,-1.0426
KL,1.3021e-15,-3.8641
PLEKHA8,7.6517e-11,0.7881
ARHGEF9,4.7694e-09,-0.5976
PRSS33,1.8594e-08,-8.3067
SNRPF,5.9011e-13,0.9449
SIAH2,6.4484e-15,1.4483
TMEM53,1.3611e-11,-0.9610
EIF1B,7.7221e-15,-0.8239
FBXO8,4.5830e-13,-0.7950
RNASE6,5.9358e-08,-1.3345
IL1RAP,1.9642e-06,0.9784
WDR18,4.5461e-10,0.7743
AHDC1,3.3776e-06,0.5936
SOWAHD,5.4935e-09,-1.4948
PVR,2.3127e-07,-0.6042
HTR6,1.4632e-05,8.1236
VAMP2,9.7451e-16,-1.6777
AEBP2,7.5543e-10,0.7368
KRTAP5-2,1.0240e-02,-4.4213
FAM183A,9.8275e-07,-2.7298
SIRPD,1.9564e-15,-8.8562
TPRKB,1.0580e-11,0.8196
CTB-50L17.14,4.3554e-10,-7.3768
RPF2,1.7358e-12,0.8998
POLR2F,5.3830e-10,0.6455
BOLA3,4.7759e-14,1.0687
LYPD6B,1.7549e-08,1.8884
BEND3,1.2728e-11,0.8781
ZNF273,3.9159e-08,1.0583
SLC16A9,1.3340e-05,1.3927
GPD1L,9.7451e-16,-2.3806
TSACC,4.4747e-13,5.9413
DMBT1,1.4065e-12,-5.5647
KCNMB2,4.8502e-07,-2.2883
ABTB2,4.2185e-04,0.6411
CEP78,2.0714e-10,0.8481
C16orf74,6.9431e-10,2.1241
TMEM217,1.2745e-05,-1.0382
SRRT,1.9511e-12,0.6268
BCAS4,1.0701e-06,0.8329
SGCB,6.0474e-08,-0.7179
KPNB1,1.2039e-14,0.8157
SMIM4,8.4318e-07,-0.6834
ANXA6,1.6180e-12,-1.4887
SMARCD1,1.6576e-12,0.5884
EGFR,4.2224e-07,0.8868
HUNK,1.6507e-02,-0.6900
AC090616.2,1.0889e-15,-5.6768
CD3EAP,2.9305e-15,1.7161
KIF11,1.1489e-15,3.5760
HAUS5,5.7457e-12,1.0332
TRANK1,4.6030e-11,-1.3539
FAM154A,6.5505e-03,-5.4642
CYP2C8,2.0934e-09,-3.2691
SEMA4G,1.4084e-10,-1.1113
TEK,9.7451e-16,-4.1255
C1orf170,3.1692e-11,1.8991
AOC1,1.1362e-02,0.8033
EVI5,2.3146e-13,-1.0089
FGF2,1.5106e-12,-2.2665
TMEM151B,2.2711e-07,5.8689
PTPRO,6.4437e-12,-2.1478
NMNAT3,2.7345e-10,1.0752
TCTE3,3.4486e-02,4.7233
EHD2,1.3519e-14,-1.7398
AC226150.4,1.2852e-03,-0.7160
ALPK3,2.4788e-13,-2.2931
RAPGEF2,3.5708e-15,-1.7905
FAM83A,4.1602e-13,4.7343
HIST1H1D,3.7554e-09,10.8889
FAM110A,1.7464e-10,0.7400
TMEM132C,2.9002e-14,-16.8134
ADORA1,9.7818e-06,-1.1308
SLC37A1,5.8797e-11,-1.1089
TECPR1,2.0714e-10,-0.9794
C17orf66,3.7340e-02,-1.0951
PCDHA2,1.2054e-06,-5.9579
TIMELESS,1.2002e-15,2.2059
MN1,3.9133e-04,0.8672
HSPB3,7.7180e-04,-2.6748
SH3BGRL,6.4484e-15,-1.4641
NUMBL,1.8074e-06,0.6974
TLE3,1.2469e-06,0.5912
C1orf116,9.7451e-16,-3.1472
C1orf162,1.3220e-15,-3.1704
INPP5B,5.3830e-10,-0.8715
LY6K,4.1525e-14,3.9280
MYBPHL,1.2619e-15,-9.1489
OLIG1,8.0500e-10,-7.0556
RASSF7,6.0730e-09,-0.9324
SHC2,3.3124e-11,-1.3694
LYL1,3.8653e-14,-1.9373
ISYNA1,2.8011e-04,0.6509
FKSG48,1.3606e-08,7.8476
SPTLC3,1.5158e-14,-1.9108
FAM84A,9.1101e-10,1.9536
TTC39C,3.5361e-11,0.8623
JAG1,1.1401e-12,1.7039
SCAMP2,1.0108e-11,-0.5899
C20orf195,1.9852e-03,-1.6112
RHOV,1.3947e-15,4.4419
CLDN5,9.7451e-16,-3.4980
TMEM255B,2.7062e-15,-1.8473
AMY2B,1.6746e-10,-1.8543
GPSM2,2.9305e-15,1.4566
HERC6,5.3422e-05,-0.8182
CYP24A1,8.3000e-08,3.7608
SMTNL1,1.6752e-03,-0.7400
FIGN,2.7304e-04,-1.2993
RIPK4,6.3854e-10,1.0259
BTBD19,7.5700e-08,-1.2994
SRGN,1.2849e-13,-2.1638
SEMA6A,7.4301e-08,-1.6639
C20orf194,3.4557e-12,-1.0692
HYDIN,1.0089e-05,-1.6195
ZBED4,1.3018e-11,0.7656
TMEM17,6.9198e-06,0.7351
DNAI1,6.0730e-09,-7.0107
SLC20A2,5.4650e-06,0.6267
CST6,1.3123e-13,-2.9817
EPO,2.0244e-02,4.8593
EPS15,2.5341e-13,-0.7809
FOXK2,2.1697e-11,0.7939
TRIP13,9.7451e-16,3.7540
GLT1D1,1.9661e-07,-1.6881
MTMR1,6.7109e-11,0.8238
SLCO5A1,1.5646e-02,0.9148
ZW10,3.4557e-12,0.7257
GSTZ1,1.5786e-06,0.5886
GPR125,1.1346e-10,0.8621
ITGAD,4.3729e-05,-2.4645
WFIKKN1,6.4208e-05,-0.9220
P2RX2,2.1697e-11,-9.1731
SET,2.2604e-13,0.7984
FAM76A,4.3162e-09,-0.6195
MARCH8,2.1864e-12,-0.8031
AMY1B,4.6412e-10,-9.0684
PRKCG,2.7898e-02,3.2732
VWA3B,8.3474e-09,-5.2558
KCNK1,9.5019e-07,0.9063
MYL3,4.7750e-15,-3.1596
LEP,5.7254e-06,8.1146
STIP1,4.5543e-15,0.8871
VGLL3,5.3526e-12,-2.1781
PIP4K2A,1.0630e-10,-0.8539
FAM78A,4.0613e-12,-1.5763
GLT8D2,2.1705e-03,-0.6937
GSTK1,6.5232e-10,-0.6751
CYBB,1.3519e-14,-2.5935
MYO1G,4.3723e-13,-2.0279
SRPRB,6.5715e-11,1.0199
UCP2,3.5695e-05,-0.8280
MFN1,4.0594e-14,1.1808
DDX60,3.0683e-07,-0.9485
ZC2HC1A,4.6868e-07,-0.6943
CASKIN2,2.8738e-15,-1.8473
RPL36A,7.7431e-07,0.5940
DUSP9,9.7451e-16,7.5060
TEKT4,2.1516e-07,-3.6234
PPP1R13L,3.6634e-06,0.7105
ABCA6,1.6666e-15,-2.6421
SDCBP,6.4484e-15,-1.3900
ANKFY1,8.4311e-12,-0.7151
ESAM,9.7451e-16,-3.2170
SH3D19,1.2891e-14,-1.4221
BNIP3,9.6383e-08,0.8512
CFLAR,7.6519e-13,-1.1090
CTD-2600O9.1,2.3643e-13,-4.7729
SPN,1.1253e-15,-3.6530
SELK,1.6688e-11,-0.6532
ADRA2A,1.5003e-06,-1.6053
CYFIP2,2.2085e-13,-1.6721
MEGF9,2.5085e-10,-1.2298
NR1D1,2.0644e-06,1.0771
TDRD3,2.9792e-10,-0.8128
C12orf71,3.4486e-02,-2.0793
ARL6IP6,3.2671e-09,0.7299
GCHFR,8.8240e-13,-1.7568
PRKACB,2.2091e-08,-0.7772
ATP6V1E2,2.4130e-09,0.9986
DMRT2,9.1159e-05,1.1158
NEDD1,1.5984e-09,0.8054
RGPD1,8.2840e-03,1.5398
GPC1,1.2214e-12,2.2190
C12orf36,8.1874e-09,12.1996
DDX43,6.1967e-06,-3.1900
ATG7,2.0397e-12,-0.7040
GRIA4,1.7723e-03,-4.8303
IRAK1,3.2660e-15,1.1561
QDPR,2.6501e-11,-0.8395
DNAJB13,1.1260e-06,-2.7554
CCDC86,5.2360e-14,1.1813
PDLIM3,1.7036e-11,-1.7081
TCEA3,5.4819e-07,-0.8807
SULT1A2,9.9797e-16,-4.0089
TNFSF8,1.1884e-08,-1.5347
MASP2,1.4065e-12,-1.7139
SOD2,5.1343e-03,-0.6703
C5orf17,4.8746e-03,-5.9455
TMEM40,6.1454e-11,3.0483
JAKMIP1,6.9568e-03,-0.7787
MTMR10,1.8225e-14,-1.0937
ATP5G3,8.3509e-11,0.7219
VAT1,6.9794e-14,-1.1069
LMNB2,1.0128e-15,1.9256
SGSM2,3.6017e-07,-0.7352
ANXA8,7.1050e-07,2.1844
PCM1,1.7464e-10,-0.7025
CD101,1.1417e-13,-2.5695
THBS2,1.3558e-09,2.1858
SMC2,9.0162e-14,1.5238
NTN4,5.4880e-15,-2.8354
UFD1L,3.8883e-12,0.7518
METTL12,1.2151e-04,0.5914
SEZ6L2,2.6259e-04,0.6880
USP44,3.8959e-15,-2.8895
ZDHHC21,2.6210e-07,-0.7727
CETP,5.3540e-14,-2.2725
CCSER2,1.1852e-10,-0.6485
SFTPA1,9.7451e-16,-7.9000
ACOT2,7.0887e-15,-1.3875
IRX3,1.4107e-04,-0.8855
FFAR4,5.1029e-15,-4.8812
PRICKLE2,9.6134e-15,-2.0054
APOLD1,1.3470e-10,-1.9246
GSTM5,1.1724e-15,-3.4639
C9orf117,9.9329e-06,-1.9746
RMDN3,4.7750e-15,-1.3573
ZNF34,1.2716e-09,-0.6285
FUT8,2.5795e-05,0.6019
ZNF93,5.8733e-07,0.9509
CCDC152,4.5669e-12,-2.5544
ABCC4,2.7258e-09,-0.8992
CBLN4,1.1428e-08,-6.5322
STEAP4,1.0040e-15,-4.2404
PARP15,2.4452e-12,-1.9820
HIP1,5.3540e-14,-1.2157
HSPA1L,1.6721e-07,-0.7531
C1orf74,1.1253e-15,2.0826
GHRL,4.6783e-09,-2.4396
MEGF10,1.5299e-08,3.3264
MSTO1,2.5341e-13,0.8801
AC103801.2,1.1856e-06,2.5112
CCDC77,4.4725e-08,0.8151
RGPD6,1.8641e-10,-0.7561
SIAE,2.2863e-12,-1.2744
CCDC137,1.8225e-14,1.0970
CYP3A5,3.1003e-11,-2.1767
AGFG2,2.2057e-10,-0.9959
ELK3,5.9358e-08,-0.7343
GIMAP2,1.4143e-14,-1.9966
MZF1,2.9499e-05,-0.5929
