Gene,Corrected P-value,Log2 Fold Change
LDLRAD1,2.7990e-08,-10.6491
MARCKSL1,1.8762e-08,1.3321
ALOX12,1.6497e-07,1.8591
CRISP3,2.4666e-02,-4.3104
UBQLN4,4.0519e-13,0.5978
DSCAML1,8.1994e-09,-3.0917
HIST1H2AM,1.9102e-11,8.8920
FGD1,1.1519e-10,1.1458
TNNI3K,5.3388e-09,-3.5382
TSNAX-DISC1,4.9565e-06,9.2146
LILRA6,3.1763e-13,-2.3845
NUDT11,1.6261e-08,2.4965
MS4A8,2.8923e-09,-9.5027
KANSL1L,2.8252e-10,-1.2170
WDR70,5.3388e-09,0.5918
CDR1,2.3930e-09,-2.2030
FGFR1OP,1.0198e-10,0.8144
MAGOHB,2.4798e-12,1.0619
AP001468.1,4.6309e-02,-2.2112
CEP250,3.1479e-10,0.9697
FKBP15,2.8131e-08,-0.7554
FGF22,5.9146e-03,-1.7129
CHST2,6.8345e-04,0.6860
ENO1,2.9482e-12,1.0330
CAPN11,8.9243e-09,-1.3590
C10orf91,1.9452e-13,2.6062
GAPT,3.0936e-14,-2.8295
CDH6,1.5751e-03,-1.4366
ROR2,2.2419e-04,0.7502
PECR,9.2357e-12,-1.2769
SLC35D3,3.0652e-02,2.7056
SLC25A37,6.0981e-04,-0.6392
DCP1A,9.2357e-12,-0.8274
C14orf37,5.1904e-05,0.5954
PPP1R13B,1.6497e-07,-0.7300
MSRA,4.2014e-14,-1.7721
PDIA3,2.2588e-08,0.5895
CD2,6.5476e-05,-1.3474
TTLL12,3.0936e-14,1.9286
MIOX,2.5710e-06,10.0644
LSG1,8.3894e-14,1.2183
GALC,1.1014e-13,-1.3422
CCDC33,2.7522e-06,-6.7340
PRKCD,3.0936e-14,-1.2384
NOSTRIN,3.0936e-14,-4.0653
TUBB,1.9452e-13,1.1839
INHBE,2.2702e-10,4.0402
PJA2,4.2014e-14,-1.0045
AC021860.1,3.7811e-02,-1.2987
CACNG6,1.0765e-07,-11.8120
SMIM22,9.8392e-05,-1.8338
CCR7,1.3932e-04,-1.2535
TCEB1,3.7506e-07,0.5917
SSRP1,8.3894e-14,0.8694
FAM27E1,5.3684e-03,2.3036
SEMA6B,7.9978e-06,-1.0426
KL,4.2014e-14,-3.8641
PLEKHA8,2.2702e-10,0.7881
ARHGEF9,3.4583e-06,-0.5976
PRSS33,2.7500e-05,-8.3067
SNRPF,2.9482e-12,0.9449
SIAH2,5.7021e-14,1.4483
TMEM53,8.0971e-10,-0.9610
EIF1B,2.5219e-13,-0.8239
FBXO8,3.0936e-14,-0.7950
RNASE6,5.1411e-08,-1.3345
IL1RAP,6.3225e-07,0.9784
WDR18,4.8002e-09,0.7743
AHDC1,3.7506e-07,0.5936
SOWAHD,3.5059e-07,-1.4948
PVR,7.1712e-06,-0.6042
HTR6,4.9200e-05,8.1236
VAMP2,3.0936e-14,-1.6777
AEBP2,1.6672e-11,0.7368
KRTAP5-2,9.1112e-03,-4.4213
FAM183A,6.3225e-07,-2.7298
SIRPD,5.0878e-13,-8.8562
TPRKB,9.5775e-13,0.8196
CTB-50L17.14,1.4314e-12,-7.3768
RPF2,4.3060e-11,0.8998
POLR2F,2.3841e-08,0.6455
BOLA3,2.6654e-08,1.0687
LYPD6B,2.2702e-10,1.8884
BEND3,3.7859e-11,0.8781
ZNF273,6.9714e-08,1.0583
SLC16A9,2.6764e-07,1.3927
GPD1L,3.0936e-14,-2.3806
TSACC,7.9695e-12,5.9413
DMBT1,2.2702e-10,-5.5647
KCNMB2,4.9225e-06,-2.2883
ABTB2,9.5473e-04,0.6411
CEP78,4.3060e-11,0.8481
C16orf74,5.5493e-11,2.1241
TMEM217,2.6290e-05,-1.0382
SRRT,5.8059e-12,0.6268
BCAS4,1.2612e-06,0.8329
SGCB,3.8794e-06,-0.7179
KPNB1,2.4798e-12,0.8157
SMIM4,2.1762e-06,-0.6834
ANXA6,3.3086e-11,-1.4887
SMARCD1,4.3060e-11,0.5884
EGFR,4.2797e-07,0.8868
AC090616.2,3.0936e-14,-5.6768
CD3EAP,4.0519e-13,1.7161
KIF11,4.2014e-14,3.5760
HRNR,1.6894e-02,-1.0426
HAUS5,3.1763e-13,1.0332
TRANK1,2.2702e-10,-1.3539
FAM154A,1.2852e-02,-5.4642
CYP2C8,3.2672e-08,-3.2691
SEMA4G,8.6976e-08,-1.1113
TEK,3.0936e-14,-4.1255
C1orf170,1.2441e-11,1.8991
AOC1,1.1915e-02,0.8033
EVI5,9.5775e-13,-1.0089
FGF2,6.3219e-13,-2.2665
TMEM151B,5.5547e-08,5.8689
PTPRO,3.2672e-08,-2.1478
NMNAT3,5.3500e-10,1.0752
TCTE3,2.8490e-02,4.7233
EHD2,3.1763e-13,-1.7398
AC226150.4,2.2918e-02,-0.7160
ALPK3,8.1994e-09,-2.2931
RAPGEF2,1.9102e-11,-1.7905
FAM83A,1.2441e-11,4.7343
HIST1H1D,4.7012e-06,10.8889
FAM110A,3.7859e-11,0.7400
TMEM132C,9.9348e-10,-16.8134
ADORA1,1.0646e-03,-1.1308
SLC37A1,2.3930e-09,-1.1089
TECPR1,5.1411e-08,-0.9794
C17orf66,2.4178e-02,-1.0951
PCDHA2,1.9463e-05,-5.9579
TIMELESS,4.2014e-14,2.2059
MN1,1.1467e-04,0.8672
SH3BGRL,3.1763e-13,-1.4641
NUMBL,1.8198e-06,0.6974
TLE3,1.3546e-08,0.5912
C1orf116,3.0936e-14,-3.1472
C1orf162,4.2014e-14,-3.1704
INPP5B,1.7575e-05,-0.8715
LY6K,7.8227e-13,3.9280
MYBPHL,3.0936e-14,-9.1489
OLIG1,5.5615e-07,-7.0556
RASSF7,5.3388e-09,-0.9324
SHC2,2.2006e-08,-1.3694
LYL1,1.1014e-13,-1.9373
ISYNA1,3.2045e-05,0.6509
FKSG48,3.8434e-07,7.8476
SPTLC3,4.2014e-14,-1.9108
FAM84A,9.0527e-11,1.9536
TTC39C,3.3086e-11,0.8623
JAG1,3.5104e-12,1.7039
SCAMP2,2.1419e-08,-0.5899
C20orf195,5.8706e-04,-1.6112
MUC5AC,3.2146e-02,-3.1373
RHOV,8.3894e-14,4.4419
CLDN5,4.2014e-14,-3.4980
TMEM255B,3.0936e-14,-1.8473
AMY2B,1.0198e-10,-1.8543
GPSM2,5.7021e-14,1.4566
HERC6,8.1106e-06,-0.8182
CYP24A1,4.8775e-07,3.7608
SMTNL1,1.5205e-03,-0.7400
FIGN,3.3981e-03,-1.2993
RIPK4,8.9243e-09,1.0259
BTBD19,2.0313e-08,-1.2994
SRGN,1.4524e-10,-2.1638
SEMA6A,2.5028e-05,-1.6639
C20orf194,6.8266e-12,-1.0692
HYDIN,3.6654e-06,-1.6195
ZBED4,1.6672e-11,0.7656
LCN1,3.0555e-02,2.1761
TMEM17,4.8775e-07,0.7351
DNAI1,4.4254e-08,-7.0107
SLC20A2,6.3225e-07,0.6267
CST6,1.1014e-13,-2.9817
EPO,7.2317e-03,4.8593
EPS15,2.8252e-10,-0.7809
FOXK2,3.0218e-08,0.7939
TRIP13,3.0936e-14,3.7540
GLT1D1,3.2910e-03,-1.6881
MTMR1,1.2195e-08,0.8238
SLCO5A1,1.5201e-02,0.9148
ZW10,2.2008e-11,0.7257
GSTZ1,1.9326e-06,0.5886
GPR125,5.5493e-11,0.8621
ITGAD,1.8944e-04,-2.4645
WFIKKN1,8.9044e-06,-0.9220
FAM27D1,9.3192e-03,2.5490
P2RX2,2.4994e-07,-9.1731
SET,6.5141e-09,0.7984
FAM76A,3.2969e-07,-0.6195
MARCH8,6.2672e-11,-0.8031
AMY1B,1.4524e-10,-9.0684
VWA3B,6.3487e-09,-5.2558
KCNK1,2.8611e-07,0.9063
MYL3,3.0936e-14,-3.1596
LEP,5.2730e-04,8.1146
STIP1,2.5219e-13,0.8871
VGLL3,6.6050e-10,-2.1781
PIP4K2A,2.3930e-09,-0.8539
FAM78A,8.9243e-09,-1.5763
GSTK1,3.3086e-11,-0.6751
CYBB,3.0936e-14,-2.5935
MYO1G,3.0936e-14,-2.0279
SRPRB,1.2464e-08,1.0199
UCP2,2.4387e-04,-0.8280
MFN1,1.1014e-13,1.1808
DDX60,1.8198e-06,-0.9485
ZC2HC1A,1.5850e-05,-0.6943
CASKIN2,4.2014e-14,-1.8473
RPL36A,1.7708e-07,0.5940
DUSP9,3.0936e-14,7.5060
TEKT4,5.9269e-07,-3.6234
PPP1R13L,6.4294e-06,0.7105
ABCA6,5.7021e-14,-2.6421
SDCBP,5.7021e-14,-1.3900
ANKFY1,1.2955e-10,-0.7151
S100A9,1.2579e-02,0.6311
ESAM,3.0936e-14,-3.2170
SH3D19,1.9452e-13,-1.4221
BNIP3,8.1994e-09,0.8512
CFLAR,3.1763e-13,-1.1090
SELK,3.6826e-08,-0.6532
CTD-2600O9.1,5.5493e-11,-4.7729
SPN,3.0936e-14,-3.6530
ADRA2A,1.1013e-05,-1.6053
CYFIP2,6.3219e-13,-1.6721
MEGF9,4.1153e-09,-1.2298
NR1D1,3.0930e-06,1.0771
TDRD3,1.8861e-07,-0.8128
C12orf71,2.5323e-02,-2.0793
ARL6IP6,1.6300e-09,0.7299
GCHFR,1.6303e-10,-1.7568
PRKACB,8.1994e-09,-0.7772
ATP6V1E2,3.6826e-08,0.9986
DMRT2,6.3225e-07,1.1158
NEDD1,6.5011e-08,0.8054
RGPD1,4.8162e-03,1.5398
GPC1,1.1720e-12,2.2190
C12orf36,2.6242e-07,12.1996
DDX43,2.1507e-04,-3.1900
ATG7,8.0370e-11,-0.7040
GRIA4,3.2900e-02,-4.8303
IRAK1,3.0936e-14,1.1561
QDPR,6.9234e-09,-0.8395
DNAJB13,2.7640e-05,-2.7554
CCDC86,6.8266e-12,1.1813
PDLIM3,8.0971e-10,-1.7081
TCEA3,2.0491e-06,-0.8807
SULT1A2,3.0936e-14,-4.0089
TNFSF8,1.0506e-06,-1.5347
MASP2,1.0746e-11,-1.7139
SOD2,1.6890e-03,-0.6703
C5orf17,9.7176e-03,-5.9455
TMEM40,1.2441e-11,3.0483
MTMR10,2.2702e-10,-1.0937
ATP5G3,4.4935e-09,0.7219
VAT1,1.9102e-11,-1.1069
LMNB2,3.0936e-14,1.9256
SGSM2,3.2672e-08,-0.7352
ANXA8,2.0313e-08,2.1844
PCM1,3.7669e-09,-0.7025
CD101,6.3219e-13,-2.5695
THBS2,4.9436e-12,2.1858
SMC2,1.1014e-13,1.5238
NTN4,5.8059e-12,-2.8354
UFD1L,6.6050e-10,0.7518
METTL12,6.5476e-05,0.5914
SEZ6L2,9.8969e-06,0.6880
USP44,1.9452e-13,-2.8895
ZDHHC21,7.5736e-06,-0.7727
CETP,8.3894e-14,-2.2725
CCSER2,2.5302e-11,-0.6485
SFTPA1,3.0936e-14,-7.9000
ACOT2,1.4748e-13,-1.3875
IRX3,1.3409e-04,-0.8855
FFAR4,3.1763e-13,-4.8812
PRICKLE2,3.1763e-13,-2.0054
APOLD1,1.4701e-08,-1.9246
GSTM5,3.0936e-14,-3.4639
C9orf117,6.4294e-06,-1.9746
RMDN3,4.0519e-13,-1.3573
ZNF34,6.3225e-07,-0.6285
FUT8,3.8474e-05,0.6019
ZNF93,1.3325e-07,0.9509
CCDC152,1.7293e-08,-2.5544
ZNF321P,3.7811e-02,-3.1259
ABCC4,8.9243e-09,-0.8992
CBLN4,3.0277e-08,-6.5322
STEAP4,3.0936e-14,-4.2404
PARP15,5.0878e-13,-1.9820
HIP1,9.5775e-13,-1.2157
HSPA1L,1.6497e-07,-0.7531
C1orf74,3.0936e-14,2.0826
GHRL,5.9848e-08,-2.4396
MEGF10,2.1767e-09,3.3264
MSTO1,2.4798e-12,0.8801
AC103801.2,4.0995e-08,2.5112
CCDC77,1.0540e-08,0.8151
RGPD6,3.6826e-08,-0.7561
SIAE,4.8865e-11,-1.2744
CCDC137,4.2014e-14,1.0970
CYP3A5,2.2008e-11,-2.1767
AGFG2,2.8923e-09,-0.9959
ELK3,2.2006e-08,-0.7343
GIMAP2,4.2014e-14,-1.9966
MZF1,9.0022e-05,-0.5929
SLC9A7,4.1828e-12,1.7376
STOM,4.2014e-14,-1.6271
RFC5,4.2014e-14,1.5123
NFIB,2.7500e-05,-1.1660
ARL14,2.1783e-07,2.6774
SGCE,7.9695e-12,-1.8010
FLT1,1.4614e-08,-1.2944
ADAMTS10,1.7708e-07,-1.3122
SLC26A8,1.6274e-04,-2.7287
METTL20,3.4996e-10,-0.8084
IQCK,1.5961e-08,-0.9549
TTC21A,1.9452e-13,-2.0721
CSTA,8.9243e-09,1.9251
MPC1,4.0519e-13,-1.2191
STOML3,3.4892e-05,-8.8583
PNMA3,6.0981e-04,1.1696
PPP1R15B,7.5736e-06,-0.5990
RHBDL3,1.8944e-04,1.2123
MLF1IP,4.2014e-14,3.0490
CMKLR1,1.1519e-10,-1.8254
KLHDC7B,6.5730e-04,1.1103
NR2C2AP,1.9177e-08,0.9333
GRM3,6.7845e-06,-5.4612
CLSTN1,4.1828e-12,1.1387
STX19,3.6622e-04,-1.1244
FAT2,5.0878e-13,5.6687
TAC3,2.7461e-03,2.0407
FITM2,6.8266e-12,-0.8725
C2orf81,8.5450e-04,-0.7088
TMEM52,1.0765e-07,1.2597
RNF222,3.3037e-08,10.4248
LBX2,8.0971e-10,1.3730
SLFN14,7.1148e-11,-7.3580
AC104667.3,5.4418e-06,-6.0037
PHEX,1.0506e-06,-1.2962
C3orf49,1.2855e-06,-6.5232
GJB3,4.2014e-14,4.7245
FAM3C,1.3368e-09,0.9124
KIF19,9.6989e-09,-2.9892
CRYL1,3.0936e-14,-1.2281
KDM1A,4.2014e-14,0.9324
DAPK1,2.6296e-09,-2.3343
MT1A,3.8969e-10,-4.3770
MECOM,3.2672e-08,-1.5535
ATP10B,1.3546e-08,4.0321
UBE2D4,8.0370e-11,-0.6266
SCARF1,4.2014e-14,-2.5433
C15orf37,4.0995e-08,-2.1883
SGCG,2.8252e-10,-4.8218
SDK2,3.7057e-05,0.9448
PKP3,5.7021e-14,2.1666
GREM1,6.2672e-11,4.2351
FAM13C,3.0936e-14,-2.6893
LRRN3,4.2014e-14,-4.3308
ARAP3,1.9452e-13,-1.5547
ACSF2,4.9436e-12,-1.2581
TRPV2,4.2014e-14,-2.4317
ZNF296,2.1507e-04,0.6397
RLN2,1.6894e-02,-1.4433
CERS6,2.5219e-13,1.2870
SLC3A2,1.5375e-07,0.6445
ADAMTS15,1.0765e-04,-1.5220
IL12RB2,4.4935e-09,2.2217
WAS,3.2341e-09,-1.9088
CCDC142,1.8861e-07,0.6338
ANKS1B,5.9848e-08,-1.8357
SCARA5,3.0936e-14,-5.3664
TSPAN2,8.6976e-08,-1.5083
VENTX,1.1470e-08,-1.7410
ZNF786,2.6296e-09,0.8692
C13orf45,7.7731e-08,-12.8134
PALB2,3.0936e-14,0.9970
MYCL,4.1828e-12,1.8334
CTNS,1.1873e-06,-0.5856
TNFRSF14,1.0198e-10,-1.2294
Z98049.1,1.5748e-05,-5.1200
CLDND2,1.3409e-04,-1.4561
RANBP17,7.0934e-04,-0.6102
TIGD5,4.0519e-13,1.1652
POU3F1,6.8266e-12,2.5615
RHOBTB1,7.5027e-08,-1.0536
RP11-1212A22.4,3.8794e-06,-0.6368
WDR96,1.9804e-09,-3.2254
PARD3,4.9436e-12,1.0711
PTPN21,2.5219e-13,-2.6445
NXPE4,5.3160e-03,-5.3594
KPNA2,3.0936e-14,2.3641
C1orf95,1.3590e-05,-2.8155
HSBP1L1,2.3075e-06,-0.6706
PCDHA8,1.9448e-02,-3.6539
MAPKAPK3,2.5219e-13,-0.9837
XRCC3,8.3894e-14,1.4858
ACE,4.2014e-14,-2.6768
LCLAT1,3.0936e-14,1.0975
CAND1,8.3894e-14,0.8156
CXCR6,3.2494e-04,-1.1814
PLCL1,6.3487e-09,-2.1258
TOR4A,5.3388e-09,-1.5395
ACOT1,2.5219e-13,-2.0174
FCRL6,4.2014e-14,-2.9667
LRP10,7.7731e-08,-0.7839
G2E3,4.2926e-09,0.9208
HTR1F,2.3841e-08,-2.3357
S1PR5,7.3266e-10,1.7962
ZNF91,4.6696e-03,-0.6298
CLCN6,1.9804e-09,-0.9459
THNSL1,1.9102e-11,1.0424
CDC45,4.2014e-14,4.3689
OVCH1,8.3894e-14,-14.0336
FHOD1,7.1148e-11,-1.4646
CCL17,3.3086e-11,-3.8020
LHFP,3.0936e-14,-2.2020
ATOH8,3.0936e-14,-4.9220
PARM1,2.0332e-07,-2.5080
ZNF551,4.4254e-08,0.6572
PIEZO2,2.0708e-12,-2.2820
PRLR,3.6219e-03,0.6111
C20orf24,3.1479e-10,1.0026
MEF2A,2.8969e-11,-0.8032
CASS4,1.9452e-13,-3.1327
MPP7,1.3325e-07,-1.0205
CPA2,2.8778e-04,1.6492
ICOS,3.0637e-07,-1.6787
VIPR2,1.3409e-04,-4.1767
AC026740.1,5.9463e-10,1.4336
PEX11G,4.5008e-05,-0.5955
CTSG,5.3500e-10,-3.4171
AGO2,3.1721e-09,0.9985
RERGL,3.5104e-12,-7.8417
ZHX3,2.0483e-05,-0.6933
FAM65A,5.7021e-14,-1.3549
EZR,2.8923e-09,-1.0004
AKAP6,6.9714e-08,-1.3492
ALDH4A1,1.8999e-07,0.7122
PRKCH,3.0936e-14,-0.9774
CATSPERG,4.8945e-09,-1.4523
NPW,5.1411e-08,5.0067
TMEM189,8.3894e-14,1.1141
BCL2L10,1.4748e-13,9.6345
BTNL9,4.2014e-14,-5.4420
SPINK7,5.4591e-04,3.1161
LSR,7.8227e-13,1.1337
C7orf10,3.3086e-11,2.1554
RPH3A,1.1568e-07,-4.5986
AP001055.1,2.2953e-03,-1.6661
CDKN2B,7.0934e-04,-1.2263
MGAM,6.9714e-08,-1.9361
PKIG,4.2014e-14,-1.8445
RP11-89N17.1,7.7074e-06,-10.5305
CBS,4.7191e-05,0.6456
STRC,1.3325e-07,3.4196
ALPK2,9.9348e-10,3.2241
VRK2,4.0995e-08,0.6251
SLC22A18AS,1.1257e-04,0.7380
IL22RA1,3.3086e-11,2.0289
LRRC71,6.9234e-09,-6.2920
ID3,5.5547e-08,-1.2905
TNFSF13B,4.1153e-09,-1.3289
CHRNA6,6.3562e-03,4.5711
GLIS3,2.1542e-05,-1.0183
SERPINH1,1.4701e-08,0.9251
GPR34,3.3086e-11,-1.7732
MPLKIP,1.0198e-10,0.6699
LRRC8C,3.3086e-11,-1.0631
IGDCC3,2.3798e-03,6.9493
C16orf59,4.2014e-14,3.7724
RIMBP2,9.5473e-04,1.1530
PPIL6,9.2357e-12,-2.4272
CSTF3,4.8865e-11,0.5963
GFRA2,2.0335e-10,-2.5761
DHFR,4.9436e-12,1.0604
SMIM14,4.7753e-08,-0.8118
KRT4,6.8526e-05,-3.4885
MSRB3,2.4798e-12,-2.1804
BTN1A1,4.5731e-02,-3.4958
CCL26,7.1148e-11,3.5671
FAM13A,1.8490e-05,-0.9114
HIST1H3A,3.3876e-03,6.1477
ZAP70,3.8794e-06,-1.4493
FAM181A,7.5027e-08,-9.3121
TAT,1.3212e-03,-4.0758
NPPA,8.4451e-06,-8.1465
DBH,3.4996e-10,-3.8370
ARHGAP19-SLIT1,1.2245e-02,0.7563
TRAT1,1.2904e-05,-1.7829
ATAD2,4.2014e-14,2.1347
CTD-2616J11.4,3.8692e-02,1.1020
AMPD1,1.5850e-05,-2.7396
EHBP1,1.4321e-07,0.7095
KHSRP,9.2357e-12,0.7258
RBM20,1.0548e-02,-2.0028
SCARF2,2.8673e-05,-0.9204
HMGCLL1,8.3894e-14,-5.4070
CAT,3.0936e-14,-2.3884
KIAA1109,8.9737e-10,-1.0200
AC104809.3,5.9848e-08,-10.6546
BYSL,3.1479e-10,1.2426
OLR1,3.4996e-10,-3.7289
PPP2R3A,2.2006e-08,0.7966
FNDC8,1.1030e-03,3.2473
POSTN,9.3517e-08,1.6895
TSPAN19,1.7901e-05,-10.4421
PSMD14,5.8059e-12,1.0058
SNTB1,3.4996e-10,-2.1300
TNFRSF21,3.1479e-10,1.1386
TIMM8A,8.3894e-14,1.3100
MUC3A,9.5257e-03,-0.8669
PRCD,4.9470e-05,-0.9746
HBG2,6.7035e-09,-8.1413
C10orf32,3.0936e-14,-1.5187
SIK1,1.4317e-05,-1.1538
BMX,5.3388e-09,-2.6555
CA7,1.5375e-02,2.7241
ZC3H12B,7.9695e-12,-2.0104
CABP4,3.0936e-14,-3.6663
CDON,1.3644e-02,-0.7580
LPAR5,8.1007e-07,1.3591
PCDHGA2,2.5331e-10,-2.4105
GPR108,8.0370e-11,-0.6179
KCTD1,1.4748e-13,2.4338
PIGW,3.2796e-07,0.7588
LIMD1,4.2014e-14,-1.7456
TIGD3,2.0491e-06,0.9708
P2RY6,8.1491e-07,1.1412
CYP21A2,2.7522e-06,-4.1859
PALD1,2.4798e-12,-2.0273
WNT16,2.8778e-04,1.5658
UPK3A,5.6104e-03,-3.6176
SLC16A11,1.1014e-13,-2.5508
DNAH12,3.4996e-10,-7.2579
RTN4RL1,3.4583e-06,-1.6516
SLC6A3,1.9388e-03,-3.0789
CCDC19,5.1411e-08,-2.3674
BMP4,9.8969e-06,-1.4125
RNF183,7.5104e-05,0.8316
MFSD2B,2.7640e-05,0.7700
RPE,7.3266e-10,0.6175
CCDC92,3.0936e-14,-1.1303
SBSPON,4.9436e-12,-2.9583
GPAT2,5.9269e-07,-1.5451
GPR19,3.1763e-13,2.9535
MPHOSPH9,8.0370e-11,1.0359
POLR2D,2.8969e-11,0.9015
KAL1,1.4748e-13,-2.4548
EPDR1,4.1828e-12,-2.0350
AGPAT5,2.3128e-07,0.7838
C4orf46,1.2955e-10,0.8343
MAN2B1,6.6561e-07,-0.7594
TTLL2,3.2134e-02,-6.0003
NCF4,2.5219e-13,-1.9667
LDLR,2.0708e-12,-1.6568
GRIA1,3.0936e-14,-6.3583
SULF2,1.0540e-08,1.4931
CLEC4A,3.3086e-11,-1.4941
EMILIN2,2.0313e-08,-1.1221
CERCAM,1.1519e-10,1.4167
CCDC167,4.3060e-11,1.1361
SPTB,6.7302e-03,0.6122
PAK3,2.9961e-04,-1.3714
NCALD,1.8999e-07,-1.7509
CCDC84,5.2041e-07,-0.6847
AXL,3.1479e-10,-1.4645
OSBPL6,9.4137e-05,-1.1786
PLA2G5,2.5331e-10,-2.2211
TRPM2,4.2797e-07,1.1280
CEP55,4.2014e-14,4.1393
ABCA12,3.0936e-14,10.3595
PHLPP1,4.1060e-06,0.6301
LRPAP1,1.1776e-07,-0.7653
POLR1B,1.0540e-08,0.7636
INF2,2.1762e-06,-0.6925
RAPGEF1,4.0130e-07,-0.6635
GSC,5.7578e-06,2.2451
NAP1L3,2.3075e-06,-1.1680
LANCL2,4.8945e-09,0.6621
GAP43,8.6976e-08,4.3184
LTA4H,1.1014e-13,-1.7760
CTD-3138B18.4,2.1065e-02,3.9345
TMSB15B,6.3389e-04,0.5872
B3GNT7,7.3266e-10,-2.6880
SHISA4,3.2703e-06,-0.7229
RDH16,2.5302e-11,1.9885
ZNF665,3.7057e-05,-1.0018
HPCAL1,3.0936e-14,-1.8901
GPR37,1.0506e-06,1.3655
TMEM41A,6.2672e-11,1.0026
AC068533.7,3.7811e-02,-4.6137
FBLIM1,4.0130e-07,0.8845
APLP2,1.4314e-12,-1.1041
CCL2,2.3817e-05,-1.9380
MAGI1,3.1763e-13,-1.8743
B3GALT2,3.0637e-07,-2.8021
GPC2,7.8227e-13,2.5099
STAP1,3.0637e-07,-1.6871
PDE4B,1.0506e-06,-1.4627
NXPH4,3.0936e-14,5.6626
CTD-2210P24.4,4.1828e-12,-3.7200
C10orf118,5.4418e-06,-0.6887
PDE6B,9.3775e-06,-1.1309
ANKRD28,8.9737e-10,-0.8864
SEMA3E,1.9102e-11,-5.9073
MAGEA2,7.4068e-07,8.5848
ADAMTS6,2.7914e-02,-0.5953
PDGFA,2.4529e-03,-0.8368
MIDN,6.0648e-05,-0.6298
RCN2,5.0694e-08,0.9203
C17orf97,3.0277e-08,-1.2230
AC061992.1,3.1901e-03,-5.1046
HAPLN2,4.4480e-04,-7.4601
GALNT8,3.7811e-02,-1.7570
CYP8B1,1.6904e-04,-7.0081
HMGA2,5.0609e-09,6.3297
CDC25C,4.2014e-14,4.0494
FXYD3,1.1013e-05,0.7483
HSD17B12,3.6564e-07,-0.6002
PRMT1,3.7859e-11,0.6372
MMP19,1.4748e-13,-2.3562
MXD4,3.0936e-14,-1.1529
CTDSPL,4.3060e-11,-1.0167
HIST1H1B,2.2689e-08,13.2480
HECW2,4.2014e-14,-2.1401
ZMYND11,3.3086e-11,-0.7263
HMCN1,4.4935e-09,-1.4975
CXorf28,3.4063e-04,5.9930
ANKRD18B,1.2441e-11,5.8851
C3orf70,7.3653e-04,-1.1018
PXMP4,2.4798e-12,-1.4192
RGL1,7.9695e-12,-1.6725
MAD2L1,4.2014e-14,3.3115
WFDC3,8.6083e-05,0.7758
PBLD,1.7129e-06,-0.7154
C15orf41,8.3894e-14,1.7075
TTC6,2.9897e-03,-2.6585
CACNA2D4,9.8392e-05,-0.6858
GREB1L,3.8067e-08,1.2259
TMEM119,1.0949e-09,-1.8822
FXYD6,4.8865e-11,-2.0117
AP000695.1,2.5028e-05,11.6546
SLC4A1,4.0995e-08,-8.9403
NCAPD3,7.9264e-09,1.0707
SPRTN,3.8969e-10,0.6257
HMGB2,3.1763e-13,1.1336
SERPINI2,1.7965e-09,-11.4552
CNKSR2,1.6303e-10,-2.7531
ORC5,3.0936e-14,1.0647
KRT78,7.9695e-12,6.9345
DMPK,1.1180e-06,-0.7648
ANGPTL7,4.2014e-14,-12.0029
RIMS3,3.8794e-06,-0.9745
PSEN2,9.0527e-11,-0.9510
C9orf131,2.2419e-04,-1.5063
NAGS,6.3317e-04,-0.8672
ASIC1,2.5302e-11,1.9369
FOXJ1,5.1411e-08,-3.7221
VASP,1.0540e-08,-0.7404
SULT2B1,3.0660e-02,-1.2114
TRPA1,5.9741e-05,1.3472
NDUFB5,4.4682e-07,0.9276
DTX4,3.7859e-11,-1.5162
CABLES2,4.0519e-13,1.1740
PREX1,2.8969e-11,-1.9086
SDR42E2,1.3471e-04,-5.4940
ALPL,3.0936e-14,-3.2600
CELSR3,1.0746e-11,1.5582
TENM3,2.1453e-03,0.8471
DENND2D,8.9243e-09,-0.7877
CDCP1,3.4996e-10,0.9119
EPRS,1.1014e-13,0.7558
TSPAN31,4.1828e-12,-0.7707
NUTM2A,4.8945e-09,-2.3003
HSPB7,4.2014e-14,-3.8375
AAMDC,9.6989e-09,-0.8708
C21orf88,4.0666e-04,2.6238
DACT2,4.5277e-02,-0.8028
MAP3K7CL,2.8923e-09,-1.2653
TXNDC15,2.4798e-12,-0.7946
CCNI2,1.7262e-12,-2.2130
HRC,3.0936e-14,-2.7355
C16orf93,9.1982e-04,-0.6046
GBP4,1.9102e-11,-2.0359
TWIST1,4.3299e-10,3.6584
PCDHA6,3.0876e-03,-3.9090
TNFRSF25,3.2672e-08,1.3213
SCAI,3.4583e-06,-0.7263
DRG1,4.3060e-11,0.7024
ARHGAP30,3.0936e-14,-1.9868
MFSD4,1.9452e-13,-1.7624
RP11-3B7.1,1.7293e-08,-1.8637
GABRB2,1.7965e-09,-3.9500
INA,1.6672e-11,6.0700
CPAMD8,1.1519e-10,-3.5551
CHRM1,8.3894e-14,-8.2209
RGS7BP,2.9482e-12,-4.8683
OR2C1,2.9459e-04,-8.0704
PDE8B,3.1763e-13,-2.1086
CCR6,2.6290e-05,-2.7415
IFNGR1,1.0949e-09,-1.0003
ISL1,2.7487e-04,4.6480
ACTA1,1.0965e-02,-1.1468
DCUN1D3,1.2955e-10,-1.1045
LAMC3,5.5493e-11,-2.1621
SLC24A5,3.5059e-07,-7.1069
